crsp_fundno,caldt,dnav,dret
036536,20081231,83.9697000,0.000211
036536,20090102,84.0504000,0.000961
036536,20090105,84.4319000,0.004539
036536,20090106,85.4538000,0.012103
036536,20090107,85.4443000,-0.000111
036536,20090108,84.5894000,-0.010005
036536,20090109,84.9801000,0.004619
036536,20090112,84.7514000,-0.002691
036536,20090113,84.5269000,-0.002649
036536,20090114,84.0787000,-0.005302
036536,20090115,83.5751000,-0.005990
036536,20090116,84.1394000,0.006752
036536,20090120,83.6798000,-0.005462
036536,20090121,83.2487000,-0.005152
036536,20090122,83.3578000,0.001311
036536,20090123,83.0615000,-0.003555
036536,20090126,83.7758000,0.008600
036536,20090127,84.1901000,0.004945
036536,20090128,84.6250000,0.005166
036536,20090129,84.2206000,-0.004779
036536,20090130,84.0454000,-0.002080
036536,20090202,83.1956000,-0.004327
036536,20090203,83.1412000,-0.000654
036536,20090204,82.8996000,-0.002906
036536,20090205,82.6364000,-0.003175
036536,20090206,83.1807000,0.006587
036536,20090209,83.4571000,0.003323
036536,20090210,83.1057000,-0.004211
036536,20090211,82.7564000,-0.004203
036536,20090212,82.1668000,-0.007125
036536,20090213,82.4676000,0.003661
036536,20090217,81.6865000,-0.009472
036536,20090218,81.7516000,0.000797
036536,20090219,82.3734000,0.007606
036536,20090220,82.0094000,-0.004419
036536,20090223,82.0434000,0.000415
036536,20090224,81.9859000,-0.000701
036536,20090225,82.1058000,0.001462
036536,20090226,82.2680000,0.001975
036536,20090227,82.1126000,-0.001889
036536,20090302,80.9660000,-0.008013
036536,20090303,80.6122000,-0.004370
036536,20090304,80.9029000,0.003606
036536,20090305,80.5682000,-0.004137
036536,20090306,80.4624000,-0.001313
036536,20090309,80.2461000,-0.002688
036536,20090310,80.7247000,0.005964
036536,20090311,81.2732000,0.006795
036536,20090312,81.9509000,0.008339
036536,20090313,82.5129000,0.006858
036536,20090316,83.0500000,0.006509
036536,20090317,82.9687000,-0.000979
036536,20090318,83.6032000,0.007647
036536,20090319,84.5086000,0.010830
036536,20090320,84.3139000,-0.002304
036536,20090323,84.8086000,0.005867
036536,20090324,84.9742000,0.001953
036536,20090325,84.6823000,-0.003435
036536,20090326,85.1606000,0.005648
036536,20090327,85.0748000,-0.001008
036536,20090330,84.4251000,-0.007637
036536,20090331,84.8808000,0.005398
036536,20090401,84.6877000,0.003874
036536,20090402,85.4884000,0.009455
036536,20090403,86.3967000,0.010625
036536,20090406,86.7984000,0.004649
036536,20090407,86.5402000,-0.002975
036536,20090408,87.0385000,0.005758
036536,20090409,87.4769000,0.005037
036536,20090413,87.6074000,0.001492
036536,20090414,87.9146000,0.003507
036536,20090415,88.2215000,0.003491
036536,20090416,88.7002000,0.005426
036536,20090417,88.7423000,0.000475
036536,20090420,87.9906000,-0.008471
036536,20090421,87.9033000,-0.000992
036536,20090422,88.0327000,0.001472
036536,20090423,88.0836000,0.000578
036536,20090424,88.4330000,0.003967
036536,20090427,88.1884000,-0.002766
036536,20090428,88.3404000,0.001724
036536,20090429,88.6184000,0.003147
036536,20090430,89.1682000,0.006204
036536,20090501,88.5891000,0.000010
036536,20090504,89.4146000,0.009318
036536,20090505,90.1846000,0.008612
036536,20090506,91.4941000,0.014520
036536,20090507,91.6356000,0.001547
036536,20090508,91.6208000,-0.000162
036536,20090511,91.2773000,-0.003749
036536,20090512,91.0187000,-0.002833
036536,20090513,90.7435000,-0.003024
036536,20090514,90.7570000,0.000149
036536,20090515,90.8498000,0.001023
036536,20090518,91.2200000,0.004075
036536,20090519,91.6566000,0.004786
036536,20090520,92.2885000,0.006894
036536,20090521,91.7233000,-0.006124
036536,20090522,91.6255000,-0.001066
036536,20090526,91.8563000,0.002519
036536,20090527,91.9906000,0.001462
036536,20090528,91.8561000,-0.001462
036536,20090529,92.3292000,0.005150
036536,20090601,92.5557000,0.007800
036536,20090602,92.5529000,-0.000030
036536,20090603,92.4917000,-0.000661
036536,20090604,92.3536000,-0.001493
036536,20090605,92.3306000,-0.000249
036536,20090608,92.0988000,-0.002511
036536,20090609,92.4159000,0.003443
036536,20090610,92.2885000,-0.001379
036536,20090611,92.6269000,0.003667
036536,20090612,92.7893000,0.001753
036536,20090615,92.6222000,-0.001801
036536,20090616,92.3530000,-0.002906
036536,20090617,91.4691000,-0.009571
036536,20090618,91.1192000,-0.003825
036536,20090619,91.2002000,0.000889
036536,20090622,90.7069000,-0.005409
036536,20090623,90.5015000,-0.002264
036536,20090624,91.0743000,0.006329
036536,20090625,91.5551000,0.005279
036536,20090626,92.0489000,0.005393
036536,20090629,92.5944000,0.005926
036536,20090630,92.5631000,-0.000338
036536,20090701,92.2296000,0.001506
036536,20090702,92.0861000,-0.001556
036536,20090706,92.0051000,-0.000880
036536,20090707,92.0240000,0.000205
036536,20090708,91.8737000,-0.001633
036536,20090709,92.0638000,0.002069
036536,20090710,92.1636000,0.001084
036536,20090713,92.2619000,0.001067
036536,20090714,92.4678000,0.002232
036536,20090715,92.5474000,0.000861
036536,20090716,92.8014000,0.002745
036536,20090717,93.0728000,0.002925
036536,20090720,93.2687000,0.002105
036536,20090721,93.5406000,0.002915
036536,20090722,93.7342000,0.002070
036536,20090723,94.0470000,0.003337
036536,20090724,94.2362000,0.002012
036536,20090727,94.4553000,0.002325
036536,20090728,94.4712000,0.000168
036536,20090729,94.3562000,-0.001217
036536,20090730,94.6669000,0.003293
036536,20090731,95.0244000,0.003776
036536,20090803,95.3880000,0.008557
036536,20090804,95.9220000,0.005598
036536,20090805,96.2140000,0.003044
036536,20090806,95.9759000,-0.002475
036536,20090807,96.0805000,0.001090
036536,20090810,95.9449000,-0.001411
036536,20090811,95.6191000,-0.003396
036536,20090812,95.4955000,-0.001293
036536,20090813,95.7957000,0.003144
036536,20090814,95.8780000,0.000859
036536,20090817,95.7101000,-0.001751
036536,20090818,95.9655000,0.002668
036536,20090819,96.0234000,0.000603
036536,20090820,96.1641000,0.001465
036536,20090821,96.5538000,0.004052
036536,20090824,96.7934000,0.002482
036536,20090825,96.8763000,0.000856
036536,20090826,96.7217000,-0.001596
036536,20090827,96.6456000,-0.000787
036536,20090828,96.7435000,0.001013
036536,20090831,96.5481000,-0.002020
036536,20090901,96.0894000,0.000363
036536,20090902,96.2129000,0.001285
036536,20090903,96.5446000,0.003448
036536,20090904,96.7748000,0.002384
036536,20090908,97.5283000,0.007786
036536,20090909,97.6390000,0.001135
036536,20090910,97.8957000,0.002629
036536,20090911,98.4790000,0.005958
036536,20090914,98.6937000,0.002180
036536,20090915,99.4107000,0.007265
036536,20090916,100.4129000,0.010081
036536,20090917,100.5550000,0.001415
036536,20090918,100.3705000,-0.001835
