crsp_fundno,caldt,dnav,dret
043528,20081231,23.2118000,0.015638
043528,20090102,24.7322000,0.065501
043528,20090105,25.4796000,0.030220
043528,20090106,26.1687000,0.027045
043528,20090107,24.2153000,-0.074646
043528,20090108,24.2696000,0.002242
043528,20090109,23.9277000,-0.014088
043528,20090112,22.6222000,-0.054560
043528,20090113,22.7581000,0.006007
043528,20090114,21.5354000,-0.053726
043528,20090115,22.0105000,0.022061
043528,20090116,22.2569000,0.011195
043528,20090120,20.5428000,-0.077014
043528,20090121,21.8637000,0.064300
043528,20090122,21.0239000,-0.038411
043528,20090123,21.3910000,0.017461
043528,20090126,21.4790000,0.004114
043528,20090127,21.7558000,0.012887
043528,20090128,22.9603000,0.055365
043528,20090129,22.0247000,-0.040749
043528,20090130,21.8696000,-0.007042
043528,20090202,21.6836000,-0.008505
043528,20090203,22.1888000,0.023299
043528,20090204,22.6017000,0.018608
043528,20090205,23.2854000,0.030250
043528,20090206,24.6166000,0.057169
043528,20090209,24.5586000,-0.002356
043528,20090210,23.4030000,-0.047055
043528,20090211,23.5891000,0.007952
043528,20090212,23.5484000,-0.001725
043528,20090213,23.7972000,0.010565
043528,20090217,22.0774000,-0.072269
043528,20090218,22.0562000,-0.000960
043528,20090219,22.0044000,-0.002349
043528,20090220,21.3963000,-0.027635
043528,20090223,20.4519000,-0.044138
043528,20090224,21.6748000,0.059794
043528,20090225,21.4823000,-0.008881
043528,20090226,21.4193000,-0.002933
043528,20090227,21.0950000,-0.015141
043528,20090302,19.6250000,-0.069685
043528,20090303,19.9677000,0.017462
043528,20090304,21.4600000,0.074736
043528,20090305,20.6100000,-0.039609
043528,20090306,20.6252000,0.000738
043528,20090309,20.2707000,-0.017188
043528,20090310,21.8130000,0.076085
043528,20090311,21.6650000,-0.006785
043528,20090312,22.4356000,0.035569
043528,20090313,22.6035000,0.007484
043528,20090316,22.5303000,-0.003238
043528,20090317,23.0697000,0.023941
043528,20090318,23.4905000,0.018240
043528,20090319,23.5697000,0.003372
043528,20090320,23.0932000,-0.020217
043528,20090323,25.1102000,0.087342
043528,20090324,24.3255000,-0.031250
043528,20090325,24.6222000,0.012197
043528,20090326,25.2241000,0.024445
043528,20090327,24.3715000,-0.033801
043528,20090330,23.2281000,-0.046915
043528,20090331,23.4612000,0.010035
043528,20090401,24.3461000,0.037718
043528,20090402,25.7798000,0.058888
043528,20090403,26.1798000,0.015516
043528,20090406,25.8147000,-0.013946
043528,20090407,25.4070000,-0.015793
043528,20090408,25.7687000,0.014236
043528,20090409,27.0571000,0.049999
043528,20090413,27.3215000,0.009772
