crsp_fundno,caldt,dnav,dret
029218,20081231,85.0966000,-0.005474
029218,20090102,86.0296000,0.010964
029218,20090105,83.9602000,-0.024055
029218,20090106,83.4426000,-0.006165
029218,20090107,83.4663000,0.000284
029218,20090108,84.1789000,0.008538
029218,20090109,83.3417000,-0.009945
029218,20090112,81.3469000,-0.023935
029218,20090113,81.2968000,-0.000616
029218,20090114,80.8040000,-0.006062
029218,20090115,79.6718000,-0.014012
029218,20090116,82.0074000,0.029315
029218,20090120,83.9221000,0.023348
029218,20090121,83.5277000,-0.004700
029218,20090122,84.5843000,0.012650
029218,20090123,86.1328000,0.018307
029218,20090126,89.5239000,0.039371
029218,20090127,88.2686000,-0.014022
029218,20090128,88.0463000,-0.002518
029218,20090129,87.7502000,-0.003363
029218,20090130,90.4300000,0.030539
029218,20090202,90.3040000,-0.001393
029218,20090203,88.9504000,-0.014989
029218,20090204,88.9986000,0.000542
029218,20090205,90.4733000,0.016570
029218,20090206,89.7838000,-0.007621
029218,20090209,88.0107000,-0.019749
029218,20090210,89.4603000,0.016471
029218,20090211,92.2376000,0.031045
029218,20090212,92.7529000,0.005587
029218,20090213,91.9897000,-0.008228
029218,20090217,95.1818000,0.034701
029218,20090218,94.7874000,-0.004144
029218,20090219,96.4090000,0.017108
029218,20090220,97.2438000,0.008659
029218,20090223,96.9210000,-0.003319
029218,20090224,96.7725000,-0.001532
029218,20090225,96.2059000,-0.005855
029218,20090226,92.0745000,-0.042943
029218,20090227,93.5978000,0.016544
029218,20090302,92.1442000,-0.015530
029218,20090303,89.8321000,-0.025092
029218,20090304,89.3148000,-0.005759
029218,20090305,89.7564000,0.004944
029218,20090306,92.0173000,0.025189
029218,20090309,90.8099000,-0.013121
029218,20090310,88.6214000,-0.024100
029218,20090311,88.4238000,-0.002230
029218,20090312,90.9544000,0.028619
029218,20090313,91.2238000,0.002962
029218,20090316,90.3851000,-0.009194
029218,20090317,89.9909000,-0.004361
029218,20090318,87.8024000,-0.024319
029218,20090319,94.0198000,0.070811
029218,20090320,93.7730000,-0.002625
029218,20090323,93.3029000,-0.005013
029218,20090324,90.7949000,-0.026880
029218,20090325,91.3100000,0.005673
029218,20090326,92.2184000,0.009949
029218,20090327,90.8165000,-0.015202
029218,20090330,91.2067000,0.004297
029218,20090331,90.0751000,-0.012407
029218,20090401,90.8607000,0.008722
029218,20090402,88.2298000,-0.028955
029218,20090403,88.9416000,0.008068
029218,20090406,85.5234000,-0.038432
029218,20090407,86.4562000,0.010907
029218,20090408,86.4798000,0.000273
029218,20090409,86.5280000,0.000557
029218,20090413,86.5242000,-0.000044
029218,20090414,87.2112000,0.007940
029218,20090415,87.5542000,0.003933
029218,20090416,86.5213000,-0.011797
029218,20090417,85.5376000,-0.011369
029218,20090420,86.1736000,0.007435
029218,20090421,87.3274000,0.013389
029218,20090422,87.0562000,-0.003106
029218,20090423,88.1855000,0.012972
029218,20090424,89.1673000,0.011133
029218,20090427,89.1644000,-0.000033
029218,20090428,87.5418000,-0.018198
029218,20090429,88.2533000,0.008128
029218,20090430,86.7782000,-0.016714
029218,20090501,86.9001000,0.001405
029218,20090504,86.8972000,-0.000033
029218,20090505,89.4024000,0.028829
029218,20090506,89.4014000,-0.000011
029218,20090507,89.6215000,0.002462
029218,20090508,89.1047000,-0.005766
029218,20090511,89.6913000,0.006583
029218,20090512,90.0833000,0.004371
029218,20090513,90.7701000,0.007624
029218,20090514,90.8919000,0.001342
029218,20090515,91.3084000,0.004582
029218,20090518,90.4703000,-0.009179
029218,20090519,90.8378000,0.004062
029218,20090520,92.2859000,0.015942
029218,20090521,92.0884000,-0.002140
029218,20090522,94.2734000,0.023727
029218,20090526,92.8201000,-0.015416
029218,20090527,93.4086000,0.006340
029218,20090528,94.0708000,0.007089
029218,20090529,95.8136000,0.018526
029218,20090601,96.4245000,0.006376
029218,20090602,96.2516000,-0.001793
029218,20090603,95.9312000,-0.003329
029218,20090604,95.3407000,-0.006155
029218,20090605,94.4799000,-0.009029
029218,20090608,92.6844000,-0.019004
029218,20090609,93.8865000,0.012970
029218,20090610,93.6645000,-0.002365
029218,20090611,93.0496000,-0.006565
029218,20090612,92.0419000,-0.010830
029218,20090615,91.5477000,-0.005369
