crsp_fundno,caldt,dnav,dret
012690,20081231,11.5500000,0.015831
012690,20090102,11.8200000,0.023377
012690,20090105,11.7700000,-0.004230
012690,20090106,11.8600000,0.007647
012690,20090107,11.5800000,-0.023609
012690,20090108,11.6400000,0.005181
012690,20090109,11.4100000,-0.019759
012690,20090112,11.1900000,-0.019281
012690,20090113,11.1800000,-0.000894
012690,20090114,10.8600000,-0.028623
012690,20090115,10.9200000,0.005525
012690,20090116,11.0400000,0.010989
012690,20090120,10.5200000,-0.047101
012690,20090121,10.8500000,0.031369
012690,20090122,10.6300000,-0.020276
012690,20090123,10.6400000,0.000941
012690,20090126,10.7100000,0.006579
012690,20090127,10.8900000,0.016807
012690,20090128,11.2000000,0.028466
012690,20090129,10.8200000,-0.033929
012690,20090130,10.5700000,-0.023105
012690,20090202,10.5800000,0.000946
012690,20090203,10.7000000,0.011342
012690,20090204,10.6400000,-0.005607
012690,20090205,10.7500000,0.010338
012690,20090206,11.0300000,0.026047
012690,20090209,11.0200000,-0.000907
012690,20090210,10.5000000,-0.047187
012690,20090211,10.5900000,0.008571
012690,20090212,10.5500000,-0.003777
012690,20090213,10.4100000,-0.013270
012690,20090217,9.9100000,-0.048031
012690,20090218,9.8500000,-0.006054
012690,20090219,9.7200000,-0.013198
012690,20090220,9.5400000,-0.018519
012690,20090223,9.2300000,-0.032495
012690,20090224,9.6100000,0.041170
012690,20090225,9.4700000,-0.014568
012690,20090226,9.3600000,-0.011616
012690,20090227,9.1800000,-0.019231
012690,20090302,8.7400000,-0.047930
012690,20090303,8.5700000,-0.019451
012690,20090304,8.7600000,0.022170
012690,20090305,8.3400000,-0.047945
012690,20090306,8.3800000,0.004796
012690,20090309,8.2800000,-0.011933
012690,20090310,8.7800000,0.060386
012690,20090311,8.8000000,0.002278
012690,20090312,9.1500000,0.039773
012690,20090313,9.2200000,0.007650
012690,20090316,9.2500000,0.003254
012690,20090317,9.5300000,0.030270
012690,20090318,9.8100000,0.029381
012690,20090319,9.6900000,-0.012232
